"name","trait","count","percent"
"Army Hat","HATS","193","3.216666666666667"
"Baby Bonet","HATS","111","1.8499999999999999"
"Bandana Blue","HATS","66","1.0999999999999999"
"Basc Flipped Brim","HATS","185","3.0833333333333335"
"Basc Hat Black","HATS","114","1.9"
"Basc Hat Red","HATS","50","0.8333333333333334"
"Beanie","HATS","342","5.7"
"Bowler","HATS","190","3.166666666666667"
"Bunny Ears","HATS","117","1.95"
"Commie Hat","HATS","194","3.2333333333333334"
"Cowboy Hat","HATS","224","3.733333333333334"
"Empty","HATS","1128","18.8"
"Faux Hawk","HATS","59","0.9833333333333333"
"Fez","HATS","254","4.233333333333333"
"Fisherman Hat","HATS","237","3.95"
"Girl Hair Short","HATS","148","2.466666666666667"
"Girls Pink Hair","HATS","65","1.0833333333333335"
"Halo","HATS","170","2.833333333333333"
"Horns","HATS","124","2.0666666666666664"
"Irish Boho","HATS","120","2"
"Kings Crown","HATS","54","0.8999999999999999"
"Laurel Wreath","HATS","60","1"
"Party Hat","HATS","73","1.2166666666666666"
"Party Hat 2","HATS","54","0.8999999999999999"
"Police Morotcycle Helmet","HATS","53","0.8833333333333334"
"Prussian Helmet","HATS","59","0.9833333333333333"
"S&M Hat","HATS","188","3.1333333333333333"
"Safari","HATS","121","2.0166666666666666"
"Sea Capitan Hat","HATS","177","2.9499999999999997"
"Seaman Hat","HATS","282","4.7"
"Short Mohawk","HATS","191","3.183333333333333"
"Spinner Hat","HATS","125","2.083333333333333"
"Stuntman Helmet","HATS","126","2.1"
"Sushi Chef Headband","HATS","110","1.8333333333333333"
"Trippy Captains Hat","HATS","73","1.2166666666666666"
"Vietnam Era Helmet","HATS","117","1.95"
"Ww2 Pilot Helm","HATS","46","0.7666666666666666"
"Cross","EARRING","42","0.7000000000000001"
"Diamond Stud","EARRING","114","1.9"
"EMPTY","EARRING","4207","70.11666666666667"
"Gold Hoop","EARRING","288","4.8"
"Gold Stud","EARRING","264","4.3999999999999995"
"Silver Hoop","EARRING","628","10.466666666666667"
"Silver Stud","EARRING","457","7.616666666666666"
