RANK,ID,BACKGROUND,FUR,CLOTHES,EYES,MOUTH,HATS,EARRING,BACKGROUND Rarity,FUR Rarity,CLOTHES Rarity,EYES Rarity,MOUTH Rarity,HATS Rarity,EARRING Rarity,Total Statistical Rarity
51,1880,Solana,Death Bot,Hip Hop,Wide Eyed,Phoneme Wah,Halo,Silver Hoop,100.000000000000000,1.999666722212960,0.916513914347609,5.032494584235960,1.133144475920680,2.832861189801700,10.464922512914500,30983.223205812500000
52,4936,Solana,Dmt,Smoking Jacket,Zombie,Small Grin,Basc Hat Black,Silver Stud,100.000000000000000,1.716380603232790,2.149641726378940,2.116313947675390,2.766205632394600,1.899683386102320,7.615397433761040,31247.698444451100000
53,593,Solana,Black,Bandolier,Sleepy,Grin Diamond Grill,Army Hat,Cross,100.000000000000000,10.631561406432300,1.949675054157640,6.815530744875850,0.999833361106482,3.216130644892520,0.699883352774538,31794.056207214000000
54,2476,Solana,Red,Caveman Pelt,Zombie,Phoneme Oh,S&M Hat,Gold Stud,100.000000000000000,5.249125145809030,0.966505582402933,2.116313947675390,2.166305615730710,3.132811198133640,4.399266788868520,32055.727394565300000
55,2620,Solana,Gold,Prison Jumpsuit,Sleepy,Small Grin,Bunny Ears,Gold Stud,100.000000000000000,0.999833361106482,2.082986168971840,6.815530744875850,2.766205632394600,1.966338943509420,4.399266788868520,33965.407782497900000
56,4417,Solana,Noise,Caveman Pelt,Eyepatch,Phoneme L,Halo,Silver Stud,100.000000000000000,2.182969505082490,0.966505582402933,2.899516747208800,2.616230628228630,2.832861189801700,7.615397433761040,34528.010157330300000
57,3011,Solana,Pink,Black Holes T,Heart,Bored Unshaven Pizza,Cowboy Hat,Diamond Stud,100.000000000000000,4.999166805532410,2.066322279620060,3.816030661556410,1.266455590734880,3.732711214797530,1.899683386102320,35399.988714801800000
58,4110,Solana,Dark Brown,Stunt Jacket,Robot,Phoneme Vuh,Basc Hat Red,Diamond Stud,100.000000000000000,13.164472587902000,1.699716713881020,3.249458423596070,3.116147308781870,0.833194467588735,1.899683386102320,35862.170915599600000
59,912,Solana,Pink,Caveman Pelt,Zombie,Bored Unshaven Cigarette,Basc Hat Black,Gold Stud,100.000000000000000,4.999166805532410,0.966505582402933,2.116313947675390,4.232627895350770,1.899683386102320,4.399266788868520,36170.432641143900000
60,4459,Solana,Blue,Work Vest,3D,Bored Bubblegum,Fisherman Hat,Diamond Stud,100.000000000000000,4.699216797200470,3.216130644892520,5.332444592567910,0.616563906015664,3.949341776370600,1.899683386102320,37279.455156433200000
61,4433,Solana,Red,Bone Tee,Holographic,Discomfort,Laurel Wreath,Silver Hoop,100.000000000000000,5.249125145809030,1.749708381936340,2.066322279620060,1.916347275454090,0.999833361106482,10.464922512914500,38052.965897398500000
62,2284,Solana,Brown,Guayabera,Eyepatch,Grin Diamond Grill,Ww2 Pilot Helm,Silver Stud,100.000000000000000,12.747875354107600,1.816363939343440,2.899516747208800,0.999833361106482,0.766538910181636,7.615397433761040,39185.076856288500000
63,531,Solana,Cheetah,Tuxedo Tee,3D,Bored Unshaved Pipe,Bunny Ears,Gold Hoop,100.000000000000000,4.482586235627400,1.949675054157640,5.332444592567910,0.899850024995834,1.966338943509420,4.799200133311110,39574.425081909600000
64,395,Solana,Golden Brown,Tweed Suit,Coins,Bored Cigarette,Baby Bonet,Gold Stud,100.000000000000000,8.281953007832030,0.816530578236960,3.732711214797530,1.949675054157640,1.849691718046990,4.399266788868520,40047.138882212500000
65,4315,Solana,Brown,Leather Jacket,Holographic,Bored Pizza,Vietnam Era Helmet,Gold Stud,100.000000000000000,12.747875354107600,1.699716713881020,2.066322279620060,1.049825029161810,1.949675054157640,4.399266788868520,40315.483214933700000
66,2460,Solana,Dmt,Lab Coat,Holographic,Tongue Out,Kings Crown,EMPTY,100.000000000000000,1.716380603232790,0.916513914347609,2.066322279620060,1.966338943509420,0.899850024995834,70.121646392268000,40330.289273075400000
67,3168,Solana,Death Bot,Pimp Coat,Scumbag,Bored Unshaven Solana,Baby Bonet,Gold Hoop,100.000000000000000,1.999666722212960,1.316447258790200,2.799533411098150,6.232294617563740,1.849691718046990,4.799200133311110,40772.085588933100000
68,2355,Solana,Dark Brown,Stripped Tee,Robot,Grin Gold Grill,Bowler,Cross,100.000000000000000,13.164472587902000,4.199300116647230,3.249458423596070,1.033161139810030,3.166138976837190,0.699883352774538,41125.866715920100000
69,2649,Solana,Cheetah,Prison Jumpsuit,Coins,Phoneme Ooo,Short Mohawk,Diamond Stud,100.000000000000000,4.482586235627400,2.082986168971840,3.732711214797530,1.983002832861190,3.182802866188970,1.899683386102320,41788.206363610700000
70,578,Solana,Red,Sleeveless Logo T,Holographic,Bored Unshaven Dagger,Cowboy Hat,Gold Hoop,100.000000000000000,5.249125145809030,2.132977837027160,2.066322279620060,1.016497250458260,3.732711214797530,4.799200133311110,42127.994892319700000
71,2109,Solana,White,Cowboy Shirt,Wide Eyed,Jovial,Party Hat,Silver Stud,100.000000000000000,3.766038993501080,0.766538910181636,5.032494584235960,3.132811198133640,1.216463922679550,7.615397433761040,42162.694985926400000
72,5497,Solana,Zombie,Admirals Coat,Bloodshot,Grin Multicolor,Commie Hat,Gold Hoop,100.000000000000000,2.699550074987500,1.166472254624230,8.031994667555410,1.083152807865360,3.232794534244290,4.799200133311110,42503.618667555300000
73,4438,Solana,Pink,Prison Jumpsuit,Angry,Bored Unshaven Kazoo,Seaman Hat,Diamond Stud,100.000000000000000,4.999166805532410,2.082986168971840,4.699216797200470,0.999833361106482,4.699216797200470,1.899683386102320,43676.097366881300000
74,341,Solana,Tan,Wool Turtleneck,Holographic,Phoneme Ooo,Sushi Chef Headband,Gold Stud,100.000000000000000,5.999000166638890,2.216297283786040,2.066322279620060,1.983002832861190,1.833027828695220,4.399266788868520,43931.662621043900000
75,3171,Solana,Noise,Stripped Tee,Coins,Bored Dagger,Basc Flipped Brim,Gold Stud,100.000000000000000,2.182969505082490,4.199300116647230,3.732711214797530,0.949841693051158,3.082819530078320,4.399266788868520,44078.682502853100000
76,2908,Solana,Black,Service,Bloodshot,Grin Multicolor,Commie Hat,Cross,100.000000000000000,10.631561406432300,2.116313947675390,8.031994667555410,1.083152807865360,3.232794534244290,0.699883352774538,44288.814379595400000
77,1172,Solana,Golden Brown,Cowboy Shirt,Eyepatch,Grin Multicolor,Sea Capitan Hat,Silver Stud,100.000000000000000,8.281953007832030,0.766538910181636,2.899516747208800,1.083152807865360,2.949508415264120,7.615397433761040,44784.170152126700000
78,1248,Solana,White,Work Vest,Holographic,Boerd Unshaven Bubblegum,Safari,Silver Hoop,100.000000000000000,3.766038993501080,3.216130644892520,2.066322279620060,0.849858356940510,2.016330611564740,10.464922512914500,44880.828239070400000
79,620,Solana,Dark Brown,Navy Stripped T,Sunglasses,Bored Pipe,Girls Pink Hair,Gold Hoop,100.000000000000000,13.164472587902000,2.882852857857020,3.199466755540740,0.716547242126312,1.083152807865360,4.799200133311110,45227.956157635300000
80,3130,Solana,Noise,Vietnam Jacket,3D,Grin Gold Grill,Baby Bonet,Silver Hoop,100.000000000000000,2.182969505082490,2.032994500916510,5.332444592567910,1.033161139810030,1.849691718046990,10.464922512914500,47327.510016833400000
81,2666,Solana,Gold,Guayabera,Closed,Grin,Horns,Gold Hoop,100.000000000000000,0.999833361106482,1.816363939343440,6.865522412931180,3.849358440259960,2.066322279620060,4.799200133311110,47594.783603051900000
82,3000,Solana,Red,Stripped Tee,Sad,Bored Dagger,Basc Hat Red,Gold Hoop,100.000000000000000,5.249125145809030,4.199300116647230,5.699050158306950,0.949841693051158,0.833194467588735,4.799200133311110,47712.567547797300000
83,3498,Solana,Blue,Bone Necklace,3D,Rage,Party Hat 2,Gold Stud,100.000000000000000,4.699216797200470,1.483086152307950,5.332444592567910,3.249458423596070,0.899850024995834,4.399266788868520,47805.694382151500000
84,5621,Solana,Blue,Sailor Shirt,Coins,Bored Unshaven Solana,Irish Boho,Cross,100.000000000000000,4.699216797200470,3.199466755540740,3.732711214797530,6.232294617563740,1.999666722212960,0.699883352774538,48950.680474431200000
85,2524,Solana,Noise,Pimp Coat,Sleepy,Bored Bubblegum,Fisherman Hat,Silver Hoop,100.000000000000000,2.182969505082490,1.316447258790200,6.815530744875850,0.616563906015664,3.949341776370600,10.464922512914500,49910.238843600600000
86,273,Solana,Brown,Black Holes T,Hypnotized,Bored Dagger,Prussian Helmet,Silver Hoop,100.000000000000000,12.747875354107600,2.066322279620060,1.949675054157640,0.949841693051158,0.983169471754708,10.464922512914500,50189.599774910700000
87,2892,Solana,White,Service,Holographic,Bored Unshaven Pizza,Bowler,Silver Stud,100.000000000000000,3.766038993501080,2.116313947675390,2.066322279620060,1.266455590734880,3.166138976837190,7.615397433761040,50289.286967811500000
88,1314,Solana,Tan,Bone Tee,Heart,Rage,Kings Crown,Gold Stud,100.000000000000000,5.999000166638890,1.749708381936340,3.816030661556410,3.249458423596070,0.899850024995834,4.399266788868520,51524.978547939600000
89,4441,Solana,Brown,Sailor Shirt,Blindfold,Grin Gold Grill,Bandana Blue,Gold Stud,100.000000000000000,12.747875354107600,3.199466755540740,2.532911181469760,1.033161139810030,1.099816697217130,4.399266788868520,51642.117693308700000
90,1992,Solana,Grey,Sleeveless T,Coins,Bored Bubblegum,Safari,Silver Stud,100.000000000000000,4.782536243959340,3.066155640726550,3.732711214797530,0.616563906015664,2.016330611564740,7.615397433761040,51821.415545972000000
91,9,Solana,Cheetah,Admirals Coat,Coins,Dumbfounded,Fisherman Hat,Diamond Stud,100.000000000000000,4.482586235627400,1.166472254624230,3.732711214797530,3.549408431928010,3.949341776370600,1.899683386102320,51974.387322240400000
92,154,Solana,Dark Brown,Vietnam Jacket,Eyepatch,Phoneme Wah,S&M Hat,Diamond Stud,100.000000000000000,13.164472587902000,2.032994500916510,2.899516747208800,1.133144475920680,3.132811198133640,1.899683386102320,52331.842175204900000
93,3393,Solana,Robot,Spacesuit,Bored,Grin,Basc Flipped Brim,Cross,100.000000000000000,3.049491751374770,0.983169471754708,21.829695050824900,3.849358440259960,3.082819530078320,0.699883352774538,54358.271082705700000
94,4312,Solana,Zombie,Stripped Tee,Holographic,Bored Party Horn,Cowboy Hat,Silver Stud,100.000000000000000,2.699550074987500,4.199300116647230,2.066322279620060,0.816530578236960,3.732711214797530,7.615397433761040,54369.554985997900000
95,2843,Solana,Red,Admirals Coat,Eyepatch,Jovial,Horns,Gold Hoop,100.000000000000000,5.249125145809030,1.166472254624230,2.899516747208800,3.132811198133640,2.066322279620060,4.799200133311110,55155.408271867100000
96,1223,Solana,Blue,Toga,Sunglasses,Bored Kazoo,Fez,Gold Stud,100.000000000000000,4.699216797200470,1.983002832861190,3.199466755540740,0.999833361106482,4.232627895350770,4.399266788868520,55506.575180828300000
97,2568,Solana,Pink,Service,X Eyes,Rage,Party Hat 2,Silver Hoop,100.000000000000000,4.999166805532410,2.116313947675390,1.716380603232790,3.249458423596070,0.899850024995834,10.464922512914500,55565.913012711200000
98,1338,Solana,Robot,Vietnam Jacket,Crazy,Grin,Halo,Diamond Stud,100.000000000000000,3.049491751374770,2.032994500916510,4.365939010164970,3.849358440259960,2.832861189801700,1.899683386102320,56070.729148225900000
99,3485,Solana,Grey,Kings Robe,Scumbag,Small Grin,Basc Hat Black,Silver Stud,100.000000000000000,4.782536243959340,1.083152807865360,2.799533411098150,2.766205632394600,1.899683386102320,7.615397433761040,58035.257262795800000
100,2050,Solana,Death Bot,Work Vest,Sad,Phoneme Ooo,Sushi Chef Headband,Gold Stud,100.000000000000000,1.999666722212960,3.216130644892520,5.699050158306950,1.983002832861190,1.833027828695220,4.399266788868520,58609.291837752000000
101,3595,Solana,Death Bot,Toga,Sunglasses,Phoneme Vuh,Vietnam Era Helmet,Silver Stud,100.000000000000000,1.999666722212960,1.983002832861190,3.199466755540740,3.116147308781870,1.949675054157640,7.615397433761040,58699.086672161500000
102,302,Solana,Cheetah,Kings Robe,Zombie,Bored Unshaven Solana,Vietnam Era Helmet,Gold Hoop,100.000000000000000,4.482586235627400,1.083152807865360,2.116313947675390,6.232294617563740,1.949675054157640,4.799200133311110,59920.792512719300000
103,1400,Solana,Grey,Wool Turtleneck,Bloodshot,Bored Party Horn,Bunny Ears,Gold Stud,100.000000000000000,4.782536243959340,2.216297283786040,8.031994667555410,0.816530578236960,1.966338943509420,4.399266788868520,60134.101949980000000
104,4091,Solana,Death Bot,Puffy Vest,Crazy,Bored Solana,Kings Crown,Gold Hoop,100.000000000000000,1.999666722212960,1.933011164805870,4.365939010164970,8.398600233294450,0.899850024995834,4.799200133311110,61209.037453113100000
105,0,Solana,Dark Brown,Work Vest,Blue Beams,Bored Unshaven Party Horn,Bunny Ears,EMPTY,100.000000000000000,13.164472587902000,3.216130644892520,0.116647225462423,0.899850024995834,1.966338943509420,70.121646392268000,61276.249805342100000
106,3835,Solana,Blue,Tuxedo Tee,Crazy,Grin Diamond Grill,Safari,Silver Stud,100.000000000000000,4.699216797200470,1.949675054157640,4.365939010164970,0.999833361106482,2.016330611564740,7.615397433761040,61411.162923960100000
107,5775,Solana,Cheetah,Leather Punk Jacket,Sleepy,Phoneme Oh,Kings Crown,Gold Hoop,100.000000000000000,4.482586235627400,2.149641726378940,6.815530744875850,2.166305615730710,0.899850024995834,4.799200133311110,61440.273121075500000
108,1766,Solana,Blue,Basc T Black,Zombie,Phoneme Wah,Commie Hat,Silver Stud,100.000000000000000,4.699216797200470,2.216297283786040,2.116313947675390,1.133144475920680,3.232794534244290,7.615397433761040,61487.884644133800000
109,3038,Solana,Robot,Wool Turtleneck,Hypnotized,Discomfort,Army Hat,Silver Stud,100.000000000000000,3.049491751374770,2.216297283786040,1.949675054157640,1.916347275454090,3.216130644892520,7.615397433761040,61846.934924918900000
110,3294,Solana,Red,Work Vest,Scumbag,Bored Unshaven Kazoo,Empty,Cross,100.000000000000000,5.249125145809030,3.216130644892520,2.799533411098150,0.999833361106482,18.796867188801900,0.699883352774538,62164.869222991400000
111,836,Solana,Trippy,Tuxedo Tee,3D,Bored Solana,Army Hat,Diamond Stud,100.000000000000000,1.166472254624230,1.949675054157640,5.332444592567910,8.398600233294450,3.216130644892520,1.899683386102320,62227.852879752300000
112,348,Solana,White,Stripped Tee,Coins,Bored Unshaven Kazoo,Beanie,Diamond Stud,100.000000000000000,3.766038993501080,4.199300116647230,3.732711214797530,0.999833361106482,5.699050158306950,1.899683386102320,63899.497871420400000
113,368,Solana,Black,Stunt Jacket,X Eyes,Grin Multicolor,Sushi Chef Headband,Silver Hoop,100.000000000000000,10.631561406432300,1.699716713881020,1.716380603232790,1.083152807865360,1.833027828695220,10.464922512914500,64443.927460819700000
114,5283,Solana,Cheetah,Puffy Vest,Crazy,Bored Cigarette,Sushi Chef Headband,Gold Hoop,100.000000000000000,4.482586235627400,1.933011164805870,4.365939010164970,1.949675054157640,1.833027828695220,4.799200133311110,64884.480922313200000
115,3767,Solana,Death Bot,Kings Robe,Coins,Phoneme Vuh,Girl Hair Short,Silver Hoop,100.000000000000000,1.999666722212960,1.083152807865360,3.732711214797530,3.116147308781870,2.466255624062660,10.464922512914500,65022.524368661000000
116,3856,Solana,Tan,Wool Turtleneck,Cyborg,Discomfort,Commie Hat,Silver Stud,100.000000000000000,5.999000166638890,2.216297283786040,1.049825029161810,1.916347275454090,3.232794534244290,7.615397433761040,65851.959276864100000
117,2078,Solana,Cream,Tie Dye,Holographic,Bored Unshaven Kazoo,Girl Hair Short,Silver Hoop,100.000000000000000,7.382102982836190,1.699716713881020,2.066322279620060,0.999833361106482,2.466255624062660,10.464922512914500,66904.669866744900000
118,4222,Solana,Zombie,Cowboy Shirt,Angry,Bored Unshaved Pipe,Bandana Blue,EMPTY,100.000000000000000,2.699550074987500,0.766538910181636,4.699216797200470,0.899850024995834,1.099816697217130,70.121646392268000,67482.881794089300000
